"","x"
"1",1
"2",2
"3",3
"4",2
"5",2
"6",2
"7",4
"8",5
"9",6
"10",7
"11",8
"12",5
"13",4
"14",9
"15",10
"16",11
"17",12
"18",13
"19",14
"20",15
"21",16
"22",10
"23",11
"24",9
"25",17
"26",18
"27",13
"28",15
"29",19
"30",20
"31",21
"32",22
"33",23
"34",24
"35",25
"36",26
"37",27
"38",28
"39",29
"40",29
"41",30
"42",31
"43",32
"44",33
"45",28
"46",34
"47",35
"48",36
"49",37
"50",38
"51",39
"52",40
"53",37
"54",41
"55",42
"56",42
"57",43
"58",44
"59",45
"60",45
"61",45
"62",45
"63",45
"64",46
"65",47
"66",48
"67",48
"68",48
"69",48
"70",49
"71",19
"72",20
"73",50
"74",51
"75",50
"76",51
"77",52
"78",53
"79",54
"80",55
"81",56
"82",57
"83",58
"84",59
"85",60
"86",59
"87",8
"88",61
"89",62
"90",63
"91",64
"92",65
"93",66
"94",56
"95",65
"96",67
"97",61
"98",68
"99",69
"100",56
"101",64
"102",56
"103",64
"104",70
"105",71
"106",72
"107",73
"108",55
"109",17
"110",74
"111",70
"112",56
"113",64
"114",71
"115",72
"116",73
"117",55
"118",70
"119",64
"120",75
"121",56
"122",76
"123",55
"124",77
"125",77
"126",5
"127",78
"128",78
"129",71
"130",72
"131",17
"132",18
"133",11
"134",79
"135",80
"136",81
"137",81
"138",81
"139",82
"140",82
"141",83
"142",81
"143",81
"144",81
"145",84
"146",84
"147",85
"148",86
"149",86
"150",86
"151",84
"152",87
"153",88
"154",89
"155",90
"156",37
"157",84
"158",84
"159",91
"160",92
"161",92
"162",93
"163",92
"164",84
"165",94
"166",84
"167",95
"168",96
"169",97
"170",97
"171",97
"172",98
"173",97
"174",97
"175",97
"176",97
"177",97
"178",99
"179",100
"180",97
"181",101
"182",101
"183",96
"184",102
"185",103
"186",102
"187",104
"188",101
"189",105
"190",106
"191",107
"192",108
"193",109
"194",110
"195",111
"196",112
"197",113
"198",114
"199",115
"200",115
"201",115
"202",13
"203",116
"204",1
"205",117
"206",118
"207",119
"208",120
"209",121
"210",122
"211",123
"212",118
"213",122
"214",124
"215",122
"216",122
"217",121
"218",124
"219",125
"220",126
"221",122
"222",41
"223",122
"224",127
"225",124
"226",122
"227",42
"228",128
"229",124
"230",42
"231",90
"232",122
"233",127
"234",127
"235",127
"236",127
"237",127
"238",127
"239",129
"240",130
"241",131
"242",132
"243",120
"244",122
"245",122
"246",75
"247",133
"248",134
"249",110
"250",126
"251",135
"252",136
"253",137
"254",138
"255",139
"256",128
"257",75
"258",77
"259",140
"260",110
"261",110
"262",141
"263",77
"264",110
"265",77
"266",77
"267",77
"268",77
"269",142
"270",88
"271",75
"272",143
"273",122
"274",122
"275",77
"276",121
"277",142
"278",144
"279",126
"280",145
"281",146
"282",147
"283",75
"284",148
"285",149
"286",150
"287",34
"288",151
"289",152
"290",47
"291",153
"292",55
"293",110
"294",110
"295",154
"296",154
"297",155
"298",134
"299",156
"300",157
"301",110
"302",34
"303",34
"304",34
"305",34
"306",158
"307",158
"308",158
"309",158
"310",159
"311",160
"312",161
"313",162
"314",163
"315",164
"316",165
"317",166
"318",166
"319",167
"320",168
"321",169
"322",170
"323",171
"324",167
"325",167
"326",18
"327",167
"328",167
"329",13
"330",167
"331",73
"332",167
"333",169
"334",110
"335",134
"336",172
"337",168
"338",173
"339",159
"340",159
"341",174
"342",175
"343",175
"344",153
"345",175
"346",176
"347",177
"348",47
"349",47
"350",142
"351",178
"352",179
"353",180
"354",180
"355",180
"356",180
"357",180
"358",180
"359",180
"360",180
"361",180
"362",180
"363",181
"364",94
"365",3
"366",182
"367",183
"368",3
"369",110
"370",157
"371",157
"372",11
"373",184
"374",185
"375",37
"376",37
"377",184
"378",157
"379",157
"380",134
"381",186
"382",187
"383",127
"384",188
"385",188
"386",188
"387",13
"388",189
"389",47
"390",64
"391",60
"392",190
"393",190
"394",191
"395",190
"396",190
"397",191
"398",192
"399",131
"400",13
"401",193
"402",94
"403",47
"404",194
"405",195
"406",196
"407",197
"408",198
"409",199
"410",192
"411",192
"412",192
"413",200
"414",201
"415",199
"416",202
"417",199
"418",203
"419",202
"420",141
"421",204
"422",205
"423",206
"424",207
"425",208
"426",21
"427",195
"428",196
"429",192
"430",192
"431",192
"432",192
"433",209
"434",190
"435",210
"436",204
"437",194
"438",211
"439",210
"440",212
"441",211
"442",211
"443",211
"444",213
"445",87
"446",211
"447",214
"448",214
"449",214
"450",199
"451",209
"452",203
