"","x"
"1",1
"2",2
"3",3
"4",2
"5",2
"6",2
"7",4
"8",5
"9",6
"10",7
"11",8
"12",5
"13",4
"14",9
"15",10
"16",11
"17",12
"18",13
"19",14
"20",15
"21",16
"22",10
"23",11
"24",9
"25",17
"26",18
"27",19
"28",15
"29",20
"30",21
"31",22
"32",23
"33",24
"34",25
"35",26
"36",27
"37",28
"38",29
"39",30
"40",30
"41",31
"42",32
"43",33
"44",34
"45",29
"46",35
"47",36
"48",37
"49",38
"50",39
"51",40
"52",41
"53",38
"54",42
"55",43
"56",44
"57",45
"58",46
"59",47
"60",47
"61",47
"62",47
"63",47
"64",48
"65",49
"66",50
"67",50
"68",50
"69",50
"70",51
"71",20
"72",21
"73",52
"74",53
"75",52
"76",53
"77",54
"78",55
"79",56
"80",57
"81",58
"82",59
"83",60
"84",61
"85",62
"86",61
"87",63
"88",64
"89",65
"90",66
"91",67
"92",68
"93",69
"94",58
"95",68
"96",70
"97",64
"98",71
"99",72
"100",58
"101",67
"102",58
"103",67
"104",73
"105",74
"106",75
"107",3
"108",57
"109",17
"110",76
"111",73
"112",58
"113",67
"114",74
"115",75
"116",3
"117",57
"118",73
"119",67
"120",44
"121",58
"122",77
"123",57
"124",78
"125",78
"126",5
"127",8
"128",8
"129",79
"130",75
"131",17
"132",18
"133",11
"134",80
"135",81
"136",82
"137",83
"138",78
"139",68
"140",68
"141",84
"142",78
"143",85
"144",86
"145",87
"146",88
"147",4
"148",6
"149",7
"150",89
"151",87
"152",90
"153",91
"154",87
"155",92
"156",93
"157",94
"158",95
"159",96
"160",44
"161",97
"162",98
"163",99
"164",99
"165",99
"166",99
"167",100
"168",101
"169",101
"170",102
"171",102
"172",103
"173",104
"174",105
"175",106
"176",107
"177",108
"178",108
"179",108
"180",108
"181",109
"182",3
"183",3
"184",104
"185",104
"186",105
"187",104
"188",104
"189",110
"190",110
"191",104
"192",104
"193",104
"194",105
"195",105
"196",104
"197",110
"198",110
"199",104
"200",101
"201",105
"202",111
"203",111
"204",103
"205",110
"206",110
"207",104
"208",104
"209",104
"210",104
"211",112
"212",49
"213",110
"214",110
"215",104
"216",104
"217",105
"218",104
"219",104
"220",110
"221",110
"222",24
"223",113
"224",114
"225",8
"226",7
"227",113
"228",86
"229",115
"230",4
"231",57
"232",37
"233",23
"234",116
"235",117
"236",11
"237",118
"238",88
"239",119
"240",89
"241",37
"242",44
"243",4
"244",120
"245",91
"246",91
"247",91
"248",121
"249",80
"250",122
"251",13
"252",74
"253",80
"254",17
"255",120
"256",19
"257",80
"258",115
"259",14
"260",5
"261",123
"262",8
"263",45
"264",124
"265",44
"266",125
"267",125
"268",77
"269",6
"270",126
"271",127
"272",8
"273",128
"274",14
"275",129
"276",126
"277",4
"278",4
"279",4
"280",63
"281",63
"282",130
"283",75
"284",74
"285",80
"286",17
"287",131
"288",132
"289",19
"290",80
"291",133
"292",134
"293",118
"294",97
"295",4
"296",135
"297",96
"298",44
"299",136
"300",137
"301",137
"302",138
"303",103
"304",107
"305",139
"306",115
"307",140
"308",141
"309",7
"310",142
"311",120
"312",120
"313",120
"314",143
"315",144
"316",145
"317",143
"318",145
"319",146
"320",131
"321",131
"322",38
"323",147
"324",139
"325",81
"326",148
"327",132
"328",149
"329",76
"330",24
"331",150
"332",151
"333",23
"334",41
"335",44
"336",78
"337",152
"338",81
"339",153
"340",154
"341",155
"342",44
"343",156
"344",152
"345",157
"346",157
"347",158
"348",158
"349",159
"350",160
"351",160
"352",161
"353",162
"354",162
"355",162
"356",162
"357",1
"358",163
"359",164
"360",108
"361",100
"362",165
"363",81
"364",44
"365",166
"366",152
"367",166
"368",167
"369",145
"370",168
"371",101
"372",155
"373",44
"374",156
"375",152
"376",98
"377",152
"378",169
"379",170
"380",171
"381",159
"382",172
"383",173
"384",174
"385",174
"386",38
"387",175
"388",176
"389",81
"390",177
"391",178
"392",179
"393",180
"394",181
"395",182
"396",83
"397",51
"398",51
"399",183
"400",184
"401",185
"402",186
"403",39
"404",187
"405",187
"406",187
"407",138
"408",24
"409",188
"410",23
"411",37
"412",189
"413",190
"414",190
"415",191
"416",167
"417",78
"418",39
"419",192
"420",193
"421",194
"422",195
"423",196
"424",197
"425",198
"426",197
"427",181
"428",199
"429",194
"430",200
"431",201
"432",201
"433",202
"434",203
"435",6
"436",204
"437",138
"438",205
"439",57
"440",204
"441",117
"442",11
"443",57
"444",57
"445",89
"446",88
"447",119
"448",206
"449",4
"450",120
"451",91
"452",91
