"","x"
"640",320
"641",359
"642",360
"643",361
"644",362
"645",362
"646",362
"647",363
"648",363
"649",297
"650",297
"651",300
"652",364
"653",365
"654",297
"655",297
"656",366
"657",270
"658",271
"659",271
"660",271
"661",271
"662",367
"663",271
"664",271
"665",368
"666",369
"667",369
"668",369
"669",369
"670",369
"671",369
"672",369
"673",369
"674",369
"675",369
"676",369
"677",369
"678",369
"679",370
"680",371
"681",9
"682",372
"683",373
"684",374
"685",262
"686",375
"687",376
"688",307
"689",377
"690",378
"691",379
"692",380
"693",381
"694",382
"695",382
"696",383
"697",384
"698",385
"699",385
"700",386
"701",268
"702",270
"703",270
"704",387
"705",29
"706",29
"707",183
"708",388
"709",389
"710",390
"711",391
"712",392
"713",268
"714",393
"715",307
"716",307
"717",394
"718",395
"719",396
"720",397
"721",398
"722",399
"723",400
"724",401
"725",402
"726",403
"727",404
"728",405
"729",406
"730",407
"731",377
"732",408
"733",409
"734",410
"735",411
"736",240
"737",412
"738",413
"739",414
"740",239
"741",239
"742",415
"743",416
"744",417
"745",418
"746",419
"747",420
"748",421
"749",422
"750",423
"751",424
"752",425
"753",426
"754",427
"755",428
"756",429
"757",430
"758",431
"759",432
"760",433
"761",434
"762",435
"763",436
"764",437
"765",438
"766",439
"767",440
"768",441
"769",442
"770",443
"771",444
"772",445
"773",446
"774",447
"775",448
"776",449
"777",450
"778",451
"779",452
"780",453
"781",454
"782",455
"783",456
"784",457
"785",458
"786",459
"787",460
"788",461
"789",462
"790",463
"791",464
"792",465
"793",466
"794",467
"795",468
"796",469
"797",470
"798",471
"799",472
"800",473
"801",474
"802",475
"803",476
"804",477
"805",478
"806",479
"807",480
"808",481
"809",482
"810",386
"811",483
"812",484
"813",485
"814",486
"815",308
"816",83
"817",291
"818",487
"819",488
"820",489
"821",489
"822",490
"823",491
"824",492
"825",493
"826",494
"827",495
"828",36
"829",496
"830",183
"831",35
"832",497
"833",498
"834",499
"835",500
"836",501
"837",502
"838",503
"839",504
"840",505
"841",504
"842",504
"843",504
"844",504
"845",133
"846",9
"847",291
"848",506
"849",504
"850",507
"851",496
"852",508
"853",222
"854",509
"855",510
"856",511
"857",512
"858",513
"859",510
"860",511
"861",387
"862",197
"863",512
"864",514
"865",184
"866",185
"867",185
"868",186
"869",187
"870",188
"871",189
"872",515
"873",190
"874",191
"875",516
"876",193
"877",517
"878",518
"879",519
"880",520
"881",520
"882",520
"883",521
"884",522
"885",523
"886",522
"887",522
"888",522
"889",520
"890",517
"891",521
"892",521
"893",522
"894",519
"895",522
"896",522
"897",522
"898",518
"899",316
"900",520
"901",520
"902",520
"903",217
"904",218
"905",218
"906",183
"907",183
"908",524
"909",525
"910",322
"911",197
"912",526
"913",526
"914",527
"915",526
"916",197
"917",183
"918",98
"919",183
"920",322
"921",528
"922",529
"923",530
"924",531
"925",532
"926",180
"927",533
"928",534
"929",535
"930",535
"931",536
"932",536
"933",537
"934",537
"935",538
"936",539
"937",539
"938",540
"939",269
"940",541
"941",541
"942",541
"943",541
"944",542
"945",543
"946",544
"947",545
"948",546
"949",547
"950",548
"951",548
"952",549
"953",546
"954",546
"955",9
"956",550
"957",551
"958",552
"959",553
"960",554
"961",555
"962",556
"963",557
"964",558
"965",559
"966",560
"967",561
"968",562
"969",563
"970",564
"971",565
"972",566
"973",566
"974",566
"975",567
"976",568
"977",569
"978",569
"979",569
"980",322
"981",570
"982",571
"983",216
"984",572
"985",573
"986",217
"987",569
"988",568
"989",568
"990",574
"991",531
"992",575
"993",295
"994",576
"995",531
"996",110
"997",577
"998",576
"999",496
"1000",65
"1001",65
"1002",578
"1003",579
"1004",580
"1005",581
"1006",582
"1007",291
"1008",583
"1009",584
"1010",585
"1011",585
"1012",586
"1013",9
"1014",545
"1015",587
"1016",588
"1017",589
"1018",590
"1019",591
"1020",592
"1021",593
"1022",594
"1023",594
"1024",595
"1025",566
"1026",566
"1027",566
"1028",8
"1029",8
"1030",8
"1031",8
"1032",8
"1033",596
"1034",597
"1035",598
"1036",599
"1037",600
"1038",601
"1039",147
"1040",602
"1041",603
"1042",604
"1043",605
"1044",606
"1045",607
"1046",608
"1047",609
"1048",610
"1049",611
"1050",612
"1051",607
"1052",606
"1053",8
"1054",613
"1055",236
"1056",614
"1057",613
"1058",615
"1059",616
"1060",617
"1061",618
"1062",619
"1063",620
"1064",8
"1065",8
"1066",272
"1067",2
"1068",3
"1069",5
"1070",14
"1071",16
"1072",16
"1073",14
"1074",16
"1075",16
"1076",16
"1077",295
"1078",621
"1079",16
"1080",622
"1081",16
"1082",16
"1083",16
"1084",16
"1085",16
"1086",16
"1087",9
"1088",623
"1089",13
"1090",8
"1091",16
"1092",8
"1093",16
"1094",16
"1095",9
"1096",623
"1097",13
"1098",8
"1099",16
"1100",8
"1101",16
"1102",8
"1103",624
"1104",625
"1105",626
"1106",223
"1107",627
"1108",628
"1109",223
"1110",629
"1111",630
"1112",3
"1113",8
"1114",8
"1115",8
"1116",8
"1117",112
"1118",147
"1119",631
"1120",632
"1121",98
"1122",633
"1123",634
"1124",634
"1125",634
"1126",634
"1127",29
"1128",635
"1129",636
"1130",637
"1131",637
"1132",638
"1133",637
"1134",639
"1135",640
"1136",640
"1137",639
"1138",641
"1139",641
"1140",496
"1141",322
"1142",217
"1143",217
"1144",217
"1145",217
"1146",217
"1147",217
"1148",217
"1149",217
"1150",217
"1151",217
"1152",322
"1153",638
"1154",639
"1155",642
"1156",643
"1157",643
"1158",644
"1159",322
"1160",645
"1161",646
"1162",322
"1163",496
"1164",647
"1165",496
"1166",648
"1167",236
"1168",238
"1169",649
"1170",197
"1171",197
"1172",502
"1173",573
"1174",197
"1175",322
"1176",197
"1177",650
"1178",322
"1179",651
"1180",98
"1181",322
"1182",322
"1183",526
"1184",197
"1185",652
"1186",183
"1187",322
"1188",322
"1189",651
"1190",652
"1191",183
"1192",322
"1193",653
"1194",197
"1195",526
"1196",654
"1197",655
"1198",656
"1199",657
"1200",658
"1201",9
"1202",659
"1203",660
"1204",661
"1205",662
"1206",662
"1207",662
"1208",663
"1209",29
"1210",496
"1211",295
"1212",295
"1213",496
"1214",664
"1215",664
"1216",664
"1217",665
"1218",29
"1219",574
"1220",666
"1221",83
"1222",295
"1223",667
"1224",668
"1225",668
"1226",668
"1227",270
"1228",270
"1229",270
"1230",270
"1231",270
"1232",555
"1233",270
"1234",669
"1235",541
"1236",138
"1237",670
"1238",670
"1239",670
"1240",496
"1241",496
"1242",671
"1243",496
"1244",29
"1245",496
"1246",295
"1247",295
"1248",496
"1249",665
"1250",29
"1251",574
"1252",672
"1253",496
"1254",83
"1255",673
"1256",674
"1257",675
"1258",675
"1259",673
"1260",83
"1261",676
"1262",677
"1263",558
"1264",558
"1265",678
"1266",678
"1267",569
"1268",568
"1269",679
"1270",680
"1271",681
"1272",138
"1273",682
"1274",683
"1275",683
"1276",683
"1277",683
"1278",683
"1279",683
"1280",671
"1281",89
"1282",89
"1283",684
"1284",684
"1285",685
"1286",685
"1287",685
"1288",685
"1289",685
"1290",685
"1291",686
"1292",687
"1293",54
"1294",688
"1295",689
"1296",690
"1297",285
"1298",691
"1299",99
"1300",618
"1301",692
"1302",690
"1303",693
"1304",692
"1305",690
"1306",693
"1307",42
"1308",694
"1309",42
"1310",695
"1311",696
"1312",697
"1313",42
"1314",698
"1315",618
"1316",618
"1317",692
"1318",690
"1319",693
"1320",581
"1321",690
"1322",693
"1323",692
"1324",690
"1325",690
"1326",696
"1327",693
"1328",694
"1329",110
"1330",699
"1331",699
"1332",700
"1333",700
"1334",701
"1335",702
"1336",692
"1337",690
"1338",693
"1339",703
"1340",322
"1341",83
"1342",98
"1343",194
"1344",195
"1345",196
"1346",197
"1347",198
"1348",9
"1349",199
"1350",200
"1351",201
"1352",202
"1353",200
"1354",200
"1355",202
"1356",200
"1357",200
"1358",704
"1359",704
"1360",203
"1361",9
"1362",204
"1363",205
"1364",206
"1365",207
"1366",208
"1367",209
"1368",209
"1369",207
"1370",210
"1371",210
"1372",211
"1373",125
"1374",212
"1375",213
"1376",214
"1377",212
"1378",213
"1379",214
"1380",212
"1381",213
"1382",214
"1383",212
"1384",213
"1385",214
"1386",212
"1387",213
"1388",214
"1389",212
"1390",213
"1391",214
"1392",212
"1393",215
"1394",214
"1395",212
"1396",215
"1397",214
"1398",212
"1399",215
"1400",214
"1401",212
"1402",215
"1403",214
"1404",215
"1405",212
"1406",215
"1407",214
"1408",212
"1409",215
"1410",214
"1411",215
"1412",214
"1413",215
"1414",212
"1415",214
"1416",212
"1417",213
"1418",214
"1419",212
"1420",213
"1421",214
"1422",212
"1423",216
"1424",214
"1425",217
"1426",217
"1427",217
"1428",218
"1429",218
"1430",219
"1431",219
"1432",219
"1433",220
"1434",221
"1435",216
"1436",222
"1437",219
"1438",217
"1439",223
"1440",197
"1441",216
"1442",216
"1443",211
"1444",125
"1445",705
"1446",138
"1447",705
"1448",138
"1449",224
"1450",194
"1451",224
"1452",224
"1453",225
"1454",226
"1455",194
"1456",224
"1457",110
"1458",226
"1459",194
"1460",227
"1461",227
"1462",228
"1463",194
"1464",229
"1465",110
"1466",230
"1467",231
"1468",230
"1469",231
"1470",232
"1471",233
"1472",234
"1473",235
"1474",29
"1475",217
"1476",217
"1477",217
"1478",219
"1479",217
"1480",219
"1481",216
"1482",223
"1483",223
