"","x"
"1",1
"2",2
"3",3
"4",2
"5",2
"6",2
"7",4
"8",5
"9",6
"10",7
"11",8
"12",5
"13",4
"14",9
"15",10
"16",11
"17",12
"18",13
"19",14
"20",15
"21",16
"22",10
"23",11
"24",9
"25",17
"26",18
"27",19
"28",15
"29",20
"30",21
"31",22
"32",23
"33",24
"34",25
"35",26
"36",27
"37",28
"38",29
"39",30
"40",30
"41",31
"42",32
"43",33
"44",34
"45",29
"46",35
"47",36
"48",37
"49",38
"50",39
"51",40
"52",41
"53",38
"54",42
"55",43
"56",43
"57",44
"58",45
"59",46
"60",46
"61",46
"62",46
"63",46
"64",47
"65",48
"66",49
"67",49
"68",49
"69",49
"70",50
"71",20
"72",21
"73",51
"74",52
"75",53
"76",54
"77",55
"78",56
"79",57
"80",55
"81",58
"82",51
"83",59
"84",60
"85",57
"86",54
"87",57
"88",54
"89",61
"90",62
"91",63
"92",64
"93",65
"94",17
"95",66
"96",61
"97",57
"98",54
"99",62
"100",63
"101",64
"102",65
"103",61
"104",54
"105",67
"106",57
"107",68
"108",65
"109",69
"110",69
"111",5
"112",8
"113",8
"114",70
"115",63
"116",17
"117",18
"118",11
"119",71
"120",72
"121",73
"122",73
"123",73
"124",74
"125",74
"126",75
"127",73
"128",73
"129",73
"130",76
"131",76
"132",77
"133",78
"134",78
"135",78
"136",76
"137",79
"138",80
"139",81
"140",82
"141",38
"142",76
"143",76
"144",83
"145",84
"146",84
"147",85
"148",84
"149",76
"150",86
"151",76
"152",87
"153",88
"154",89
"155",89
"156",89
"157",90
"158",89
"159",89
"160",89
"161",89
"162",89
"163",91
"164",92
"165",89
"166",93
"167",93
"168",88
"169",94
"170",95
"171",94
"172",96
"173",93
"174",97
"175",98
"176",99
"177",100
"178",101
"179",102
"180",103
"181",104
"182",105
"183",106
"184",107
"185",107
"186",107
"187",13
"188",108
"189",1
"190",109
"191",110
"192",111
"193",112
"194",113
"195",69
"196",114
"197",110
"198",115
"199",116
"200",69
"201",115
"202",113
"203",116
"204",117
"205",118
"206",115
"207",42
"208",115
"209",119
"210",116
"211",115
"212",43
"213",120
"214",116
"215",43
"216",82
"217",115
"218",119
"219",119
"220",119
"221",119
"222",119
"223",119
"224",121
"225",122
"226",123
"227",124
"228",112
"229",115
"230",115
"231",67
"232",125
"233",126
"234",102
"235",118
"236",127
"237",128
"238",129
"239",130
"240",131
"241",120
"242",67
"243",69
"244",132
"245",102
"246",102
"247",133
"248",69
"249",102
"250",69
"251",69
"252",69
"253",69
"254",134
"255",80
"256",67
"257",135
"258",115
"259",115
"260",69
"261",113
"262",134
"263",136
"264",118
"265",137
"266",138
"267",139
"268",67
"269",140
"270",141
"271",142
"272",35
"273",143
"274",144
"275",48
"276",145
"277",65
"278",102
"279",102
"280",146
"281",146
"282",147
"283",126
"284",148
"285",149
"286",102
"287",35
"288",35
"289",35
"290",35
"291",150
"292",150
"293",150
"294",150
"295",151
"296",152
"297",153
"298",154
"299",155
"300",156
"301",157
"302",158
"303",158
"304",159
"305",160
"306",161
"307",162
"308",163
"309",159
"310",159
"311",18
"312",159
"313",159
"314",13
"315",159
"316",64
"317",159
"318",161
"319",102
"320",126
"321",164
"322",160
"323",165
"324",151
"325",151
"326",166
"327",167
"328",167
"329",145
"330",167
"331",168
"332",169
"333",48
"334",48
"335",134
"336",170
"337",171
"338",172
"339",172
"340",172
"341",172
"342",172
"343",172
"344",172
"345",172
"346",172
"347",172
"348",173
"349",86
"350",3
"351",174
"352",175
"353",3
"354",102
"355",149
"356",149
"357",11
"358",176
"359",177
"360",38
"361",38
"362",176
"363",149
"364",149
"365",126
"366",178
"367",179
"368",119
"369",180
"370",180
"371",180
"372",13
"373",181
"374",48
"375",54
"376",182
"377",183
"378",183
"379",184
"380",183
"381",183
"382",184
"383",185
"384",123
"385",13
"386",186
"387",86
"388",48
"389",187
"390",188
"391",189
"392",190
"393",191
"394",192
"395",185
"396",185
"397",185
"398",193
"399",194
"400",192
"401",195
"402",192
"403",196
"404",195
"405",133
"406",197
"407",198
"408",199
"409",200
"410",201
"411",22
"412",188
"413",189
"414",185
"415",185
"416",185
"417",185
"418",202
"419",183
"420",203
"421",197
"422",187
"423",204
"424",203
"425",205
"426",204
"427",204
"428",204
"429",206
"430",79
"431",204
"432",207
"433",207
"434",207
"435",192
"436",202
"437",196
"438",202
"439",194
"440",192
"441",195
"442",192
"443",86
"444",48
"445",208
"446",190
"447",191
"448",209
"449",209
"450",196
"451",209
"452",209
