"","x"
"640",45
"641",53
"642",17
"643",271
"644",272
"645",19
"646",53
"647",273
"648",274
"649",275
"650",248
"651",4
"652",276
"653",106
"654",49
"655",155
"656",277
"657",277
"658",278
"659",114
"660",257
"661",279
"662",265
"663",280
"664",281
"665",7
"666",282
"667",242
"668",242
"669",242
"670",283
"671",149
"672",284
"673",283
"674",284
"675",285
"676",271
"677",271
"678",65
"679",85
"680",279
"681",154
"682",148
"683",272
"684",204
"685",48
"686",6
"687",286
"688",278
"689",287
"690",28
"691",286
"692",288
"693",11
"694",28
"695",28
"696",240
"697",44
"698",65
"699",289
"700",4
"701",242
"702",202
"703",202
"704",202
"705",290
"706",53
"707",291
"708",292
"709",45
"710",53
"711",17
"712",293
"713",242
"714",53
"715",265
"716",14
"717",5
"718",202
"719",8
"720",294
"721",106
"722",49
"723",295
"724",106
"725",274
"726",275
"727",296
"728",296
