"","x"
"138",262
"137",267
"136",268
"135",28
"134",268
"133",269
"132",270
"131",269
"130",269
"129",271
"128",268
"127",268
"126",24
"125",237
"124",272
"123",225
"122",157
"121",268
"120",158
"119",158
"118",273
"117",136
"116",268
"115",268
"114",274
"113",274
"112",274
"111",275
"110",275
"109",276
"108",274
"107",274
"106",274
"105",74
"104",277
"103",278
"102",279
"101",280
"100",278
"99",278
"98",281
"97",15
"96",16
"95",27
"94",281
"93",13
"92",277
"91",68
"90",16
"89",58
"88",282
"87",8
"86",8
"85",10
"84",222
"83",222
"82",27
"81",65
"80",283
"79",6
"78",103
"77",101
"76",27
"75",200
"74",58
"73",17
"72",103
"71",283
"70",166
"69",284
"68",16
"67",27
"66",200
"65",58
"64",17
"63",166
"62",103
"61",283
"60",103
"59",283
"58",285
"57",286
"56",287
"55",288
"54",289
"53",70
"52",290
"51",289
"50",103
"49",291
"48",292
"47",287
"46",60
"45",293
"44",175
"43",293
"42",294
"41",295
"40",130
"39",27
"38",112
"37",296
"36",297
"35",298
"34",299
"33",298
"32",299
"31",166
"30",300
"29",301
"28",201
"27",57
"26",15
"25",16
"24",302
"23",277
"22",303
"21",304
"20",13
"19",11
"18",18
"17",305
"16",277
"15",303
"14",302
"13",22
"12",10
"11",141
"10",46
"9",33
"8",10
"7",22
"6",306
"5",306
"4",306
"3",184
"2",306
"1",246
