"","x"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",6
"7",7
"8",8
"9",8
"10",9
"11",10
"12",11
"13",12
"14",7
"15",13
"16",14
"17",15
"18",16
"19",17
"20",18
"21",19
"22",16
"23",20
"24",21
"25",21
"26",22
"27",23
"28",24
"29",24
"30",24
"31",24
"32",24
"33",25
"34",26
"35",27
"36",27
"37",27
"38",27
"39",28
"40",29
"41",30
"42",31
"43",32
"44",31
"45",32
"46",33
"47",34
"48",35
"49",36
"50",37
"51",38
"52",39
"53",40
"54",41
"55",40
"56",42
"57",43
"58",44
"59",45
"60",46
"61",47
"62",48
"63",37
"64",47
"65",49
"66",43
"67",50
"68",51
"69",37
"70",46
"71",37
"72",46
"73",52
"74",53
"75",54
"76",55
"77",36
"78",56
"79",57
"80",52
"81",37
"82",46
"83",53
"84",54
"85",55
"86",36
"87",52
"88",46
"89",58
"90",37
"91",59
"92",60
"93",60
"94",60
"95",61
"96",62
"97",62
"98",63
"99",54
"100",56
"101",64
"102",65
"103",66
"104",67
"105",68
"106",68
"107",68
"108",69
"109",69
"110",70
"111",68
"112",68
"113",68
"114",71
"115",71
"116",72
"117",73
"118",73
"119",73
"120",71
"121",74
"122",75
"123",76
"124",77
"125",16
"126",71
"127",71
"128",78
"129",79
"130",79
"131",80
"132",79
"133",71
"134",81
"135",71
"136",82
"137",83
"138",84
"139",84
"140",84
"141",85
"142",84
"143",84
"144",84
"145",84
"146",84
"147",86
"148",87
"149",84
"150",88
"151",88
"152",83
"153",89
"154",90
"155",89
"156",91
"157",88
"158",92
"159",93
"160",94
"161",95
"162",96
"163",97
"164",98
"165",99
"166",100
"167",101
"168",102
"169",102
"170",102
"171",103
"172",104
"173",1
"174",105
"175",106
"176",107
"177",108
"178",109
"179",60
"180",110
"181",106
"182",111
"183",112
"184",60
"185",111
"186",109
"187",112
"188",113
"189",114
"190",111
"191",20
"192",111
"193",115
"194",112
"195",111
"196",21
"197",116
"198",112
"199",21
"200",77
"201",111
"202",115
"203",115
"204",115
"205",115
"206",115
"207",115
"208",117
"209",118
"210",119
"211",120
"212",108
"213",111
"214",111
"215",58
"216",121
"217",122
"218",97
"219",114
"220",123
"221",124
"222",125
"223",126
"224",127
"225",116
"226",58
"227",60
"228",128
"229",97
"230",97
"231",129
"232",60
"233",97
"234",60
"235",60
"236",60
"237",60
"238",130
"239",75
"240",58
"241",131
"242",111
"243",111
"244",60
"245",109
"246",130
"247",132
"248",114
"249",133
"250",134
"251",135
"252",58
"253",136
"254",137
"255",138
"256",13
"257",139
"258",140
"259",26
"260",141
"261",36
"262",97
"263",97
"264",142
"265",142
"266",143
"267",122
"268",144
"269",145
"270",97
"271",13
"272",13
"273",13
"274",13
"275",146
"276",146
"277",146
"278",146
"279",147
"280",148
"281",149
"282",150
"283",151
"284",152
"285",153
"286",154
"287",154
"288",155
"289",156
"290",157
"291",158
"292",159
"293",155
"294",155
"295",64
"296",155
"297",155
"298",103
"299",155
"300",55
"301",155
"302",157
"303",97
"304",122
"305",160
"306",156
"307",161
"308",147
"309",147
"310",162
"311",163
"312",163
"313",141
"314",163
"315",164
"316",165
"317",26
"318",26
"319",130
"320",166
"321",167
"322",168
"323",168
"324",168
"325",168
"326",168
"327",168
"328",168
"329",168
"330",168
"331",168
"332",169
"333",81
"334",170
"335",171
"336",172
"337",173
"338",97
"339",145
"340",145
"341",81
"342",174
"343",175
"344",16
"345",16
"346",174
"347",145
"348",145
"349",122
"350",176
"351",177
"352",115
"353",178
"354",178
"355",178
"356",103
"357",179
"358",26
"359",46
"360",41
"361",180
"362",180
"363",181
"364",180
"365",180
"366",181
"367",182
"368",119
"369",103
"370",183
"371",81
"372",26
"373",184
"374",185
"375",186
"376",187
"377",188
"378",189
"379",182
"380",182
"381",182
"382",190
"383",191
"384",192
"385",189
"386",193
"387",189
"388",194
"389",193
"390",129
"391",195
"392",196
"393",197
"394",198
"395",199
"396",200
"397",185
"398",186
"399",182
"400",182
"401",182
"402",182
"403",201
"404",180
"405",202
"406",195
"407",184
"408",203
"409",202
"410",204
"411",203
"412",203
"413",203
"414",205
"415",74
"416",203
"417",206
"418",206
"419",206
"420",189
"421",201
"422",194
"423",201
"424",192
"425",189
"426",193
"427",189
"428",81
"429",26
"430",207
"431",187
"432",188
"433",208
"434",208
"435",194
"436",208
"437",208
"438",209
"439",35
"440",210
"441",211
"442",211
"443",211
"444",212
"445",213
"446",214
"447",215
"448",16
"449",216
"450",216
"451",216
"452",216
