"","x"
"1",1
"2",2
"3",3
"4",2
"5",2
"6",2
"7",4
"8",5
"9",6
"10",7
"11",8
"12",5
"13",4
"14",9
"15",10
"16",11
"17",12
"18",13
"19",14
"20",15
"21",16
"22",10
"23",11
"24",9
"25",17
"26",18
"27",19
"28",15
"29",20
"30",21
"31",22
"32",23
"33",24
"34",25
"35",26
"36",27
"37",28
"38",29
"39",30
"40",30
"41",31
"42",32
"43",33
"44",34
"45",29
"46",35
"47",36
"48",37
"49",38
"50",39
"51",40
"52",41
"53",38
"54",42
"55",43
"56",43
"57",44
"58",45
"59",46
"60",46
"61",46
"62",46
"63",46
"64",47
"65",48
"66",49
"67",49
"68",49
"69",49
"70",50
"71",20
"72",21
"73",51
"74",52
"75",51
"76",52
"77",53
"78",54
"79",55
"80",56
"81",57
"82",58
"83",59
"84",60
"85",61
"86",60
"87",62
"88",63
"89",64
"90",65
"91",66
"92",67
"93",68
"94",57
"95",67
"96",69
"97",63
"98",70
"99",71
"100",57
"101",66
"102",57
"103",66
"104",72
"105",73
"106",74
"107",75
"108",56
"109",17
"110",76
"111",72
"112",57
"113",66
"114",73
"115",74
"116",75
"117",56
"118",72
"119",66
"120",77
"121",57
"122",78
"123",56
"124",79
"125",79
"126",5
"127",8
"128",8
"129",80
"130",74
"131",17
"132",18
"133",11
"134",81
"135",82
"136",83
"137",83
"138",83
"139",84
"140",84
"141",85
"142",83
"143",83
"144",83
"145",86
"146",86
"147",87
"148",88
"149",88
"150",88
"151",86
"152",89
"153",90
"154",91
"155",92
"156",38
"157",86
"158",86
"159",93
"160",94
"161",94
"162",95
"163",94
"164",86
"165",96
"166",86
"167",97
"168",98
"169",99
"170",99
"171",99
"172",100
"173",99
"174",99
"175",99
"176",99
"177",99
"178",101
"179",102
"180",99
"181",103
"182",103
"183",98
"184",104
"185",105
"186",104
"187",106
"188",103
"189",107
"190",108
"191",109
"192",110
"193",111
"194",112
"195",113
"196",114
"197",115
"198",116
"199",117
"200",117
"201",117
"202",13
"203",118
"204",1
"205",119
"206",120
"207",121
"208",122
"209",123
"210",79
"211",124
"212",120
"213",125
"214",126
"215",79
"216",125
"217",123
"218",126
"219",127
"220",128
"221",125
"222",42
"223",125
"224",129
"225",126
"226",125
"227",43
"228",130
"229",126
"230",43
"231",92
"232",125
"233",129
"234",129
"235",129
"236",129
"237",129
"238",129
"239",131
"240",132
"241",133
"242",134
"243",122
"244",125
"245",125
"246",77
"247",135
"248",136
"249",112
"250",128
"251",137
"252",138
"253",139
"254",140
"255",141
"256",130
"257",77
"258",79
"259",142
"260",112
"261",112
"262",143
"263",79
"264",112
"265",79
"266",79
"267",79
"268",79
"269",144
"270",90
"271",77
"272",145
"273",125
"274",125
"275",79
"276",123
"277",144
"278",146
"279",128
"280",147
"281",148
"282",149
"283",77
"284",150
"285",151
"286",152
"287",35
"288",153
"289",154
"290",48
"291",155
"292",56
"293",112
"294",112
"295",156
"296",156
"297",157
"298",136
"299",158
"300",136
"301",112
"302",35
"303",35
"304",35
"305",35
"306",159
"307",159
"308",159
"309",159
"310",160
"311",161
"312",162
"313",163
"314",164
"315",165
"316",166
"317",167
"318",167
"319",168
"320",169
"321",170
"322",171
"323",172
"324",168
"325",168
"326",18
"327",168
"328",168
"329",13
"330",168
"331",75
"332",168
"333",170
"334",112
"335",136
"336",173
"337",169
"338",174
"339",160
"340",160
"341",175
"342",176
"343",176
"344",155
"345",176
"346",177
"347",178
"348",48
"349",48
"350",144
"351",179
"352",180
"353",181
"354",181
"355",181
"356",181
"357",181
"358",181
"359",181
"360",181
"361",181
"362",181
"363",182
"364",96
"365",3
"366",183
"367",184
"368",3
"369",112
"370",185
"371",136
"372",11
"373",186
"374",187
"375",38
"376",38
"377",186
"378",185
"379",185
"380",136
"381",188
"382",189
"383",129
"384",190
"385",190
"386",190
"387",13
"388",191
"389",48
"390",66
"391",61
"392",192
"393",192
"394",193
"395",192
"396",192
"397",193
"398",194
"399",133
"400",13
"401",195
"402",96
"403",48
"404",196
"405",197
"406",198
"407",199
"408",200
"409",201
"410",194
"411",194
"412",194
"413",202
"414",203
"415",201
"416",204
"417",201
"418",205
"419",204
"420",143
"421",206
"422",207
"423",208
"424",209
"425",210
"426",22
"427",197
"428",198
"429",194
"430",194
"431",194
"432",194
"433",211
"434",192
"435",212
"436",206
"437",196
"438",213
"439",212
"440",214
"441",213
"442",213
"443",213
"444",215
"445",89
"446",213
"447",216
"448",216
"449",216
"450",201
"451",211
"452",205
