"","x"
"640",353
"641",354
"642",350
"643",353
"644",355
"645",356
"646",357
"647",334
"648",358
"649",359
"650",360
"651",361
"652",362
"653",363
"654",364
"655",365
"656",366
"657",367
"658",368
"659",12
"660",369
"661",370
"662",371
"663",372
"664",372
"665",373
"666",374
"667",375
"668",376
"669",377
"670",363
"671",365
"672",378
"673",379
"674",380
"675",381
"676",382
"677",365
"678",366
"679",365
"680",366
"681",383
"682",384
"683",385
"684",386
"685",387
"686",388
"687",389
"688",300
"689",300
"690",300
"691",300
"692",390
"693",302
"694",391
"695",392
"696",344
"697",390
"698",302
"699",58
"700",355
"701",390
"702",302
"703",391
"704",393
"705",392
"706",390
"707",62
"708",394
"709",395
"710",396
"711",397
"712",398
"713",399
"714",400
"715",164
"716",164
"717",401
"718",402
"719",403
"720",404
"721",405
"722",406
"723",407
"724",408
"725",7
"726",409
"727",410
"728",43
"729",48
"730",411
"731",13
"732",43
"733",412
"734",413
"735",414
"736",415
"737",416
"738",417
"739",418
"740",419
"741",420
"742",421
"743",422
"744",423
"745",424
"746",425
"747",426
"748",427
"749",428
"750",428
"751",429
"752",430
"753",431
"754",432
"755",433
"756",434
"757",435
"758",436
"759",437
"760",438
"761",439
"762",440
"763",441
"764",441
"765",442
"766",56
"767",442
"768",441
"769",441
"770",441
"771",441
"772",441
"773",195
"774",229
"775",443
"776",444
"777",445
"778",446
"779",447
"780",448
"781",449
"782",426
"783",442
"784",441
"785",450
"786",296
"787",451
"788",451
"789",451
"790",452
"791",453
"792",454
"793",455
"794",456
"795",99
"796",457
"797",458
"798",459
"799",460
"800",461
"801",462
"802",56
"803",463
"804",464
"805",462
"806",465
"807",466
"808",467
"809",468
"810",99
"811",469
"812",460
"813",470
"814",471
"815",472
"816",473
"817",474
"818",474
"819",475
"820",476
"821",99
"822",477
"823",478
"824",479
"825",480
"826",481
"827",482
"828",4
"829",483
"830",484
"831",485
"832",486
"833",487
"834",486
"835",488
"836",489
"837",116
"838",490
"839",491
"840",99
"841",492
"842",492
"843",493
"844",494
"845",495
"846",496
"847",497
"848",498
"849",499
"850",500
"851",501
"852",501
"853",502
"854",501
"855",501
"856",502
"857",503
"858",503
"859",502
"860",504
"861",505
"862",506
"863",162
"864",507
"865",508
"866",509
"867",298
"868",510
"869",511
"870",511
"871",512
"872",318
"873",513
"874",513
"875",514
"876",515
"877",516
"878",517
"879",516
"880",518
"881",516
"882",518
"883",518
"884",518
"885",518
"886",519
"887",520
"888",521
"889",522
"890",442
"891",523
"892",524
"893",525
"894",526
"895",527
"896",528
"897",529
"898",530
"899",531
"900",532
"901",533
"902",534
"903",335
"904",535
"905",536
"906",537
"907",538
"908",539
"909",540
"910",541
"911",285
"912",542
"913",543
"914",544
"915",545
"916",546
"917",547
"918",546
"919",548
"920",546
"921",546
"922",549
"923",550
"924",551
"925",552
"926",202
"927",123
"928",169
"929",553
"930",554
"931",555
"932",556
"933",557
"934",558
"935",559
"936",560
"937",133
"938",561
"939",561
"940",561
"941",562
"942",563
"943",564
"944",565
"945",562
"946",565
"947",566
"948",567
"949",566
"950",567
"951",568
"952",569
"953",3
"954",482
"955",570
"956",571
"957",572
"958",573
"959",574
"960",575
"961",576
"962",577
"963",578
"964",578
"965",578
"966",575
"967",574
"968",579
"969",579
"970",579
"971",579
"972",579
"973",580
"974",570
"975",581
"976",582
"977",583
"978",584
"979",585
"980",586
"981",585
"982",587
"983",587
"984",588
"985",482
"986",557
"987",557
"988",589
"989",590
"990",357
"991",574
"992",591
"993",592
"994",593
"995",594
"996",595
"997",572
"998",596
"999",596
"1000",596
"1001",597
"1002",597
"1003",596
"1004",584
"1005",598
"1006",599
"1007",581
"1008",583
"1009",487
"1010",300
"1011",600
"1012",601
"1013",598
"1014",602
"1015",306
"1016",600
"1017",603
"1018",600
"1019",300
"1020",346
"1021",600
"1022",568
"1023",604
"1024",353
"1025",561
"1026",568
"1027",605
"1028",568
"1029",606
"1030",607
"1031",608
"1032",609
"1033",610
"1034",608
"1035",609
"1036",610
"1037",609
"1038",608
"1039",608
"1040",609
"1041",610
"1042",609
"1043",609
"1044",609
"1045",609
"1046",610
"1047",609
"1048",609
"1049",609
"1050",609
"1051",609
"1052",609
"1053",609
"1054",609
"1055",609
"1056",609
"1057",609
"1058",609
"1059",609
"1060",609
"1061",609
"1062",609
"1063",608
"1064",608
"1065",608
"1066",609
"1067",610
"1068",609
"1069",609
"1070",610
"1071",611
"1072",611
"1073",609
"1074",609
"1075",609
"1076",609
"1077",609
"1078",609
"1079",609
"1080",609
"1081",609
"1082",609
"1083",609
"1084",609
"1085",609
"1086",609
"1087",608
"1088",608
"1089",608
"1090",609
"1091",610
"1092",609
"1093",609
"1094",609
"1095",609
"1096",609
"1097",609
"1098",609
"1099",609
"1100",609
"1101",609
"1102",609
"1103",609
"1104",609
"1105",610
"1106",609
"1107",609
"1108",609
"1109",609
"1110",609
"1111",609
"1112",609
"1113",609
"1114",609
"1115",609
"1116",609
"1117",609
"1118",610
"1119",609
"1120",609
"1121",609
"1122",609
"1123",609
"1124",609
"1125",609
"1126",609
"1127",609
"1128",609
"1129",609
"1130",609
"1131",609
"1132",609
"1133",609
"1134",609
"1135",609
"1136",609
"1137",609
"1138",609
"1139",609
"1140",609
"1141",609
"1142",609
"1143",609
"1144",609
"1145",609
"1146",609
"1147",609
"1148",609
"1149",609
"1150",609
"1151",609
"1152",609
"1153",609
"1154",609
"1155",609
"1156",609
"1157",609
"1158",609
"1159",609
"1160",609
"1161",609
"1162",609
"1163",609
"1164",609
"1165",609
"1166",609
"1167",609
"1168",609
"1169",609
"1170",609
"1171",609
"1172",609
"1173",609
"1174",609
"1175",609
"1176",612
"1177",609
"1178",609
"1179",609
"1180",609
"1181",609
"1182",609
"1183",609
"1184",609
"1185",609
"1186",613
"1187",614
"1188",406
"1189",614
"1190",406
"1191",615
"1192",515
"1193",616
"1194",617
"1195",618
"1196",618
"1197",618
"1198",618
"1199",618
"1200",618
"1201",619
"1202",620
"1203",621
"1204",622
"1205",623
"1206",624
"1207",625
"1208",626
"1209",627
"1210",628
"1211",423
"1212",608
"1213",493
"1214",629
"1215",630
"1216",631
"1217",632
"1218",633
"1219",633
"1220",498
"1221",634
"1222",635
"1223",406
"1224",633
"1225",636
"1226",637
"1227",631
"1228",423
"1229",632
"1230",633
"1231",633
"1232",498
"1233",634
"1234",629
"1235",635
"1236",626
"1237",627
"1238",628
"1239",406
"1240",618
"1241",638
"1242",639
"1243",639
"1244",617
"1245",630
"1246",610
"1247",640
"1248",641
"1249",514
"1250",642
"1251",642
"1252",643
"1253",406
"1254",293
"1255",514
"1256",423
"1257",644
"1258",644
"1259",514
"1260",59
"1261",644
"1262",645
"1263",406
"1264",423
"1265",646
"1266",588
"1267",647
"1268",648
"1269",649
"1270",650
"1271",651
"1272",423
"1273",650
"1274",652
"1275",653
