"","x"
"640",280
"641",280
"642",280
"643",288
"644",48
"645",286
"646",286
"647",280
"648",280
"649",281
"650",280
"651",280
"652",286
"653",286
"654",24
"655",289
"656",290
"657",8
"658",220
"659",289
"660",213
"661",291
"662",4
"663",56
"664",37
"665",23
"666",292
"667",293
"668",11
"669",294
"670",255
"671",38
"672",265
"673",37
"674",77
"675",4
"676",267
"677",220
"678",220
"679",220
"680",295
"681",296
"682",297
"683",298
"684",73
"685",296
"686",17
"687",267
"688",19
"689",296
"690",291
"691",14
"692",5
"693",132
"694",8
"695",44
"696",126
"697",77
"698",299
"699",299
"700",274
"701",6
"702",300
"703",301
"704",8
"705",302
"706",14
"707",5
"708",300
"709",4
"710",4
"711",4
"712",62
"713",62
"714",303
"715",74
"716",73
"717",296
"718",17
"719",304
"720",305
"721",19
"722",296
"723",306
"724",307
"725",294
"726",273
"727",4
"728",308
"729",126
"730",77
"731",174
"732",133
"733",309
"734",310
"735",134
"736",283
"737",311
"738",291
"739",312
"740",313
"741",7
"742",314
"743",267
"744",267
"745",267
"746",315
"747",316
"748",317
"749",315
"750",317
"751",318
"752",304
"753",304
"754",38
"755",108
"756",311
"757",173
"758",167
"759",305
"760",222
"761",76
"762",24
"763",319
"764",320
"765",82
"766",41
"767",77
"768",138
"769",321
"770",259
"771",322
"772",112
"773",13
"774",77
"775",323
"776",321
"777",324
"778",324
"779",325
"780",325
"781",326
"782",327
"783",327
"784",328
"785",329
"786",329
"787",329
"788",329
"789",1
"790",330
"791",271
"792",284
"793",276
"794",118
"795",173
"796",77
"797",142
"798",321
"799",142
"800",130
"801",317
"802",331
"803",277
"804",13
"805",77
"806",323
"807",321
"808",274
"809",321
"810",332
"811",132
"812",333
"813",326
"814",334
"815",335
"816",336
"817",336
"818",38
"819",337
"820",338
"821",259
"822",339
"823",340
"824",86
"825",341
"826",342
"827",146
"828",261
"829",50
"830",50
"831",343
"832",344
"833",345
"834",346
"835",39
"836",347
"837",347
"838",347
"839",310
"840",24
"841",348
"842",23
"843",37
"844",349
"845",350
"846",350
"847",351
"848",130
"849",138
"850",39
"851",352
"852",353
"853",354
"854",355
"855",356
"856",357
"857",358
"858",357
"859",342
"860",359
"861",354
"862",360
"863",361
"864",361
"865",362
"866",363
"867",6
"868",364
"869",310
"870",365
"871",56
"872",364
"873",293
"874",11
"875",56
"876",56
"877",265
"878",255
"879",38
"880",366
"881",4
"882",267
"883",220
"884",220
"885",220
"886",295
"887",296
"888",297
"889",298
"890",73
"891",296
"892",17
"893",367
"894",19
"895",296
"896",291
"897",14
"898",5
"899",132
"900",8
"901",292
"902",126
"903",77
"904",368
"905",126
"906",307
"907",294
"908",369
"909",369
"910",370
"911",371
"912",371
"913",371
"914",371
"915",371
"916",371
"917",371
"918",371
"919",371
"920",371
"921",371
"922",371
"923",371
"924",371
"925",371
"926",371
"927",371
"928",371
"929",371
"930",371
"931",371
"932",371
"933",371
"934",371
"935",371
"936",372
"937",372
"938",372
"939",372
"940",373
"941",372
"942",336
"943",336
"944",22
"945",22
"946",336
"947",374
"948",375
"949",375
"950",376
"951",376
"952",259
"953",87
"954",88
"955",316
"956",334
"957",377
"958",378
"959",67
"960",379
"961",274
"962",274
"963",380
"964",124
"965",92
"966",92
"967",381
"968",258
"969",274
"970",380
"971",92
"972",92
"973",124
"974",381
"975",258
"976",379
"977",307
"978",122
"979",380
"980",92
"981",124
"982",38
"983",329
"984",382
"985",377
"986",378
"987",383
"988",336
"989",379
"990",383
"991",261
"992",270
"993",271
"994",259
"995",24
"996",384
"997",385
"998",23
"999",39
"1000",261
"1001",386
"1002",387
"1003",387
"1004",388
"1005",389
"1006",389
"1007",389
"1008",387
"1009",387
"1010",388
"1011",389
"1012",389
"1013",389
"1014",108
"1015",390
"1016",391
"1017",391
"1018",392
"1019",392
"1020",391
"1021",391
"1022",391
"1023",392
"1024",392
