"","x"
"1",1
"2",2
"3",3
"4",2
"5",2
"6",2
"7",4
"8",5
"9",6
"10",7
"11",8
"12",5
"13",4
"14",9
"15",10
"16",11
"17",12
"18",13
"19",14
"20",15
"21",16
"22",10
"23",11
"24",9
"25",17
"26",18
"27",19
"28",15
"29",20
"30",21
"31",22
"32",23
"33",24
"34",25
"35",26
"36",27
"37",28
"38",29
"39",30
"40",30
"41",31
"42",32
"43",33
"44",34
"45",29
"46",35
"47",36
"48",37
"49",38
"50",39
"51",40
"52",41
"53",38
"54",42
"55",43
"56",43
"57",44
"58",45
"59",46
"60",46
"61",46
"62",46
"63",46
"64",47
"65",48
"66",49
"67",49
"68",49
"69",49
"70",50
"71",20
"72",21
"73",51
"74",52
"75",51
"76",52
"77",53
"78",54
"79",55
"80",56
"81",57
"82",58
"83",59
"84",60
"85",61
"86",60
"87",62
"88",63
"89",56
"90",64
"91",64
"92",5
"93",8
"94",8
"95",65
"96",66
"97",17
"98",18
"99",11
"100",67
"101",68
"102",69
"103",69
"104",69
"105",70
"106",70
"107",71
"108",69
"109",69
"110",69
"111",72
"112",72
"113",73
"114",74
"115",74
"116",74
"117",72
"118",75
"119",76
"120",77
"121",78
"122",38
"123",72
"124",72
"125",79
"126",80
"127",80
"128",81
"129",80
"130",72
"131",82
"132",72
"133",83
"134",84
"135",85
"136",85
"137",85
"138",86
"139",85
"140",85
"141",85
"142",85
"143",85
"144",87
"145",88
"146",85
"147",89
"148",89
"149",84
"150",90
"151",91
"152",90
"153",92
"154",89
"155",93
"156",94
"157",95
"158",96
"159",97
"160",98
"161",99
"162",100
"163",101
"164",102
"165",103
"166",103
"167",103
"168",13
"169",104
"170",1
"171",105
"172",106
"173",107
"174",108
"175",109
"176",64
"177",110
"178",106
"179",111
"180",112
"181",64
"182",111
"183",109
"184",112
"185",113
"186",114
"187",111
"188",42
"189",111
"190",115
"191",112
"192",111
"193",43
"194",116
"195",112
"196",43
"197",78
"198",111
"199",115
"200",115
"201",115
"202",115
"203",115
"204",115
"205",117
"206",118
"207",119
"208",120
"209",108
"210",111
"211",111
"212",121
"213",122
"214",123
"215",98
"216",114
"217",124
"218",125
"219",126
"220",127
"221",128
"222",116
"223",121
"224",64
"225",129
"226",98
"227",98
"228",130
"229",64
"230",98
"231",64
"232",64
"233",64
"234",64
"235",131
"236",76
"237",121
"238",132
"239",111
"240",111
"241",64
"242",109
"243",131
"244",133
"245",114
"246",134
"247",135
"248",136
"249",121
"250",137
"251",138
"252",139
"253",35
"254",140
"255",141
"256",48
"257",142
"258",56
"259",98
"260",98
"261",143
"262",143
"263",144
"264",123
"265",145
"266",146
"267",98
"268",35
"269",35
"270",35
"271",35
"272",147
"273",147
"274",147
"275",147
"276",148
"277",149
"278",150
"279",151
"280",152
"281",153
"282",154
"283",155
"284",155
"285",156
"286",157
"287",158
"288",159
"289",160
"290",156
"291",156
"292",18
"293",156
"294",156
"295",13
"296",156
"297",123
"298",156
"299",158
"300",98
"301",123
"302",161
"303",157
"304",162
"305",148
"306",148
"307",163
"308",164
"309",164
"310",142
"311",164
"312",165
"313",166
"314",48
"315",48
"316",131
"317",167
"318",168
"319",169
"320",169
"321",169
"322",169
"323",169
"324",169
"325",169
"326",169
"327",169
"328",169
"329",170
"330",82
"331",3
"332",171
"333",172
"334",3
"335",98
"336",146
"337",146
"338",11
"339",173
"340",174
"341",38
"342",38
"343",173
"344",146
"345",146
"346",123
"347",175
"348",176
"349",115
"350",177
"351",177
"352",177
"353",13
"354",178
"355",48
"356",179
"357",61
"358",180
"359",180
"360",181
"361",180
"362",180
"363",181
"364",182
"365",119
"366",13
"367",183
"368",82
"369",48
"370",184
"371",185
"372",186
"373",187
"374",188
"375",189
"376",182
"377",182
"378",182
"379",190
"380",191
"381",189
"382",192
"383",189
"384",193
"385",192
"386",130
"387",194
"388",195
"389",196
"390",197
"391",198
"392",22
"393",185
"394",186
"395",182
"396",182
"397",182
"398",182
"399",199
"400",180
"401",200
"402",194
"403",184
"404",201
"405",200
"406",202
"407",201
"408",201
"409",201
"410",203
"411",75
"412",201
"413",204
"414",204
"415",204
"416",189
"417",199
"418",193
"419",199
"420",191
"421",189
"422",192
"423",189
"424",82
"425",48
"426",205
"427",187
"428",188
"429",206
"430",206
"431",193
"432",206
"433",206
"434",207
"435",55
"436",208
"437",209
"438",209
"439",209
"440",210
"441",211
"442",212
"443",213
"444",38
"445",214
"446",214
"447",214
"448",214
"449",55
"450",207
"451",215
"452",216
